iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
1,200,100,100,True,False,False,11196,85492,213404
1,100,200,100,False,True,False,13508,87132,215284
1,100,100,200,False,False,True,11268,78080,206228
2,200,100,100,True,False,False,11456,87920,216088
2,100,200,100,False,True,False,11704,83720,211704
2,100,100,200,False,False,True,13268,88320,216472
3,200,100,100,True,False,False,13836,77372,205304
3,100,200,100,False,True,False,11300,73900,202032
3,100,100,200,False,False,True,13004,81996,209956
4,200,100,100,True,False,False,11596,83776,212048
4,100,200,100,False,True,False,11272,85400,213276
4,100,100,200,False,False,True,11444,77880,205772
5,200,100,100,True,False,False,11348,83192,211172
5,100,200,100,False,True,False,11204,83208,211156
5,100,100,200,False,False,True,11464,79912,207824
6,200,100,100,True,False,False,11472,81756,209924
6,100,200,100,False,True,False,13380,79804,208036
6,100,100,200,False,False,True,11496,81972,209988
7,200,100,100,True,False,False,11360,84204,212232
7,100,200,100,False,True,False,13692,87392,215508
7,100,100,200,False,False,True,11192,86076,214100
8,200,100,100,True,False,False,11392,88044,216140
8,100,200,100,False,True,False,11528,87380,215376
8,100,100,200,False,False,True,11576,79800,207944
9,200,100,100,True,False,False,11416,86988,215216
9,100,200,100,False,True,False,11472,83764,211948
9,100,100,200,False,False,True,11520,82288,210260
10,200,100,100,True,False,False,13436,81440,209560
10,100,200,100,False,True,False,11744,81748,209640
10,100,100,200,False,False,True,11124,83556,211812
11,200,100,100,True,False,False,13508,79904,208012
11,100,200,100,False,True,False,11368,85488,213652
11,100,100,200,False,False,True,13260,80700,208968
12,200,100,100,True,False,False,11540,81456,209724
12,100,200,100,False,True,False,11028,85636,213752
12,100,100,200,False,False,True,13160,79476,207420
13,200,100,100,True,False,False,11188,85228,213380
13,100,200,100,False,True,False,11632,83452,211432
13,100,100,200,False,False,True,11008,81052,208928
14,200,100,100,True,False,False,13296,83740,211788
14,100,200,100,False,True,False,11364,83404,211476
14,100,100,200,False,False,True,11808,87564,215684
15,200,100,100,True,False,False,11224,86468,214632
15,100,200,100,False,True,False,10932,81908,210028
15,100,100,200,False,False,True,11308,85836,213916
16,200,100,100,True,False,False,11620,81748,209712
16,100,200,100,False,True,False,11364,87916,216016
16,100,100,200,False,False,True,13348,89320,217332
17,200,100,100,True,False,False,11220,76104,204156
17,100,200,100,False,True,False,11576,82004,209760
17,100,100,200,False,False,True,11324,89124,217140
18,200,100,100,True,False,False,13160,84288,212480
18,100,200,100,False,True,False,13580,85752,213848
18,100,100,200,False,False,True,11196,83432,211648
19,200,100,100,True,False,False,11184,88464,216532
19,100,200,100,False,True,False,13712,75240,203216
19,100,100,200,False,False,True,13088,83392,211460
20,200,100,100,True,False,False,13568,83148,211296
20,100,200,100,False,True,False,11468,85380,213260
20,100,100,200,False,False,True,11464,87108,215312
21,200,100,100,True,False,False,11140,82196,210236
21,100,200,100,False,True,False,13564,81112,209276
21,100,100,200,False,False,True,13400,77772,205960
22,200,100,100,True,False,False,13156,84132,212228
22,100,200,100,False,True,False,13264,82100,210128
22,100,100,200,False,False,True,11324,88112,216076
23,200,100,100,True,False,False,15188,81664,209684
23,100,200,100,False,True,False,11312,85372,213576
23,100,100,200,False,False,True,13312,85104,213348
24,200,100,100,True,False,False,11472,86168,214248
24,100,200,100,False,True,False,11180,81500,209688
24,100,100,200,False,False,True,13568,79360,207576
25,200,100,100,True,False,False,11464,88076,216216
25,100,200,100,False,True,False,11068,76324,204248
25,100,100,200,False,False,True,11052,83464,211728
26,200,100,100,True,False,False,13256,84204,212404
26,100,200,100,False,True,False,11300,87236,215448
26,100,100,200,False,False,True,13576,82972,210964
27,200,100,100,True,False,False,11528,87100,215076
27,100,200,100,False,True,False,11464,79980,207908
27,100,100,200,False,False,True,11116,87300,215212
28,200,100,100,True,False,False,13316,84024,211792
28,100,200,100,False,True,False,11284,86772,214752
28,100,100,200,False,False,True,13256,84124,212264
29,200,100,100,True,False,False,13428,79912,207988
29,100,200,100,False,True,False,11548,87836,215960
29,100,100,200,False,False,True,13336,81712,209472
30,200,100,100,True,False,False,11480,81212,209376
30,100,200,100,False,True,False,11256,84160,212356
30,100,100,200,False,False,True,11296,83516,211308
31,200,100,100,True,False,False,13456,79128,207352
31,100,200,100,False,True,False,11008,86504,214552
31,100,100,200,False,False,True,13012,80184,208408
32,200,100,100,True,False,False,11188,84152,212000
32,100,200,100,False,True,False,13192,86932,215112
32,100,100,200,False,False,True,11580,79124,206972
33,200,100,100,True,False,False,13164,85356,213380
33,100,200,100,False,True,False,13088,86308,214464
33,100,100,200,False,False,True,13400,75324,203464
34,200,100,100,True,False,False,11212,86388,214420
34,100,200,100,False,True,False,11556,89224,217580
34,100,100,200,False,False,True,11052,88300,216484
35,200,100,100,True,False,False,11156,90188,218184
35,100,200,100,False,True,False,11296,85444,213604
35,100,100,200,False,False,True,13392,79832,207856
1,400,100,100,True,False,False,13644,91256,313132
1,100,400,100,False,True,False,11488,97496,319476
1,100,100,400,False,False,True,13436,96804,318532
2,400,100,100,True,False,False,11452,101012,322920
2,100,400,100,False,True,False,11340,97292,318980
2,100,100,400,False,False,True,13224,99716,321528
3,400,100,100,True,False,False,11544,95364,317352
3,100,400,100,False,True,False,13616,101320,323004
3,100,100,400,False,False,True,11216,99296,321204
4,400,100,100,True,False,False,13496,98576,320480
4,100,400,100,False,True,False,10984,104324,326112
4,100,100,400,False,False,True,11188,93388,315460
5,400,100,100,True,False,False,11800,94376,316288
5,100,400,100,False,True,False,13208,97784,319776
5,100,100,400,False,False,True,13296,95540,317516
6,400,100,100,True,False,False,11644,97140,318852
6,100,400,100,False,True,False,11396,98648,320660
6,100,100,400,False,False,True,11208,95648,317380
7,400,100,100,True,False,False,13524,103184,324756
7,100,400,100,False,True,False,13404,95216,316804
7,100,100,400,False,False,True,11196,95368,317216
8,400,100,100,True,False,False,11652,99156,320848
8,100,400,100,False,True,False,11220,103192,324972
8,100,100,400,False,False,True,11620,93408,315048
9,400,100,100,True,False,False,11160,111752,333432
9,100,400,100,False,True,False,11588,101572,323332
9,100,100,400,False,False,True,13236,104220,326216
10,400,100,100,True,False,False,13220,99796,321688
10,100,400,100,False,True,False,11240,96820,318704
10,100,100,400,False,False,True,13296,103024,324912
11,400,100,100,True,False,False,11072,93136,314716
11,100,400,100,False,True,False,13308,101384,323108
11,100,100,400,False,False,True,11872,102924,324868
12,400,100,100,True,False,False,11544,101428,323292
12,100,400,100,False,True,False,11560,100784,322644
12,100,100,400,False,False,True,13824,94092,316052
13,400,100,100,True,False,False,11228,100412,322196
13,100,400,100,False,True,False,13232,98640,320236
13,100,100,400,False,False,True,11188,99724,321336
14,400,100,100,True,False,False,13468,103444,325360
14,100,400,100,False,True,False,13460,105608,327416
14,100,100,400,False,False,True,13404,97256,319080
15,400,100,100,True,False,False,11352,103148,325108
15,100,400,100,False,True,False,13240,99376,321008
15,100,100,400,False,False,True,13572,89216,311080
16,400,100,100,True,False,False,13340,101292,322680
16,100,400,100,False,True,False,13708,103144,325044
16,100,100,400,False,False,True,13408,96812,318788
17,400,100,100,True,False,False,11280,91536,313172
17,100,400,100,False,True,False,11496,97196,318996
17,100,100,400,False,False,True,11052,97336,319100
18,400,100,100,True,False,False,11360,100984,322628
18,100,400,100,False,True,False,11312,105584,327128
18,100,100,400,False,False,True,11392,103232,324716
19,400,100,100,True,False,False,11524,98328,320156
19,100,400,100,False,True,False,11484,99036,320808
19,100,100,400,False,False,True,11032,102740,324272
20,400,100,100,True,False,False,11812,98296,320256
20,100,400,100,False,True,False,13724,95208,317104
20,100,100,400,False,False,True,11172,103736,325728
21,400,100,100,True,False,False,11188,103188,325152
21,100,400,100,False,True,False,11168,95596,317564
21,100,100,400,False,False,True,11420,99260,320976
22,400,100,100,True,False,False,13372,95756,317520
22,100,400,100,False,True,False,11224,95612,317600
22,100,100,400,False,False,True,11364,104836,326740
23,400,100,100,True,False,False,13576,98760,320288
23,100,400,100,False,True,False,11528,95136,316960
23,100,100,400,False,False,True,13268,103512,325376
24,400,100,100,True,False,False,13536,93040,315000
24,100,400,100,False,True,False,11056,104560,326532
24,100,100,400,False,False,True,11216,105184,327060
25,400,100,100,True,False,False,11532,102796,324500
25,100,400,100,False,True,False,13272,97784,319776
25,100,100,400,False,False,True,11468,100548,322048
26,400,100,100,True,False,False,13640,101340,323084
26,100,400,100,False,True,False,11240,103780,325688
26,100,100,400,False,False,True,11052,101652,323564
