iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
1,200,100,100,True,False,False,11004,196584,464912
1,100,200,100,False,True,False,11036,193472,462352
1,100,100,200,False,False,True,11076,195572,464140
2,200,100,100,True,False,False,11056,197904,468412
2,100,200,100,False,True,False,11188,196140,466532
2,100,100,200,False,False,True,10960,195376,464216
3,200,100,100,True,False,False,11060,191436,459676
3,100,200,100,False,True,False,11012,191564,460240
3,100,100,200,False,False,True,11028,193604,462372
4,200,100,100,True,False,False,11028,200580,471032
4,100,200,100,False,True,False,11108,190776,458780
4,100,100,200,False,False,True,11088,189532,458228
5,200,100,100,True,False,False,11032,193032,463808
5,100,200,100,False,True,False,11068,194488,464820
5,100,100,200,False,False,True,10924,197796,466360
6,200,100,100,True,False,False,11128,193212,461792
6,100,200,100,False,True,False,11024,194008,462740
6,100,100,200,False,False,True,11016,222464,489816
7,200,100,100,True,False,False,10964,195860,463656
7,100,200,100,False,True,False,10988,194064,462596
7,100,100,200,False,False,True,11192,201428,470008
8,200,100,100,True,False,False,10912,196292,466056
8,100,200,100,False,True,False,11128,199084,467204
8,100,100,200,False,False,True,11068,218028,487512
9,200,100,100,True,False,False,11132,191584,459664
9,100,200,100,False,True,False,11148,198112,468140
9,100,100,200,False,False,True,10980,196584,467068
10,200,100,100,True,False,False,11124,217752,492052
10,100,200,100,False,True,False,10964,215032,483484
10,100,100,200,False,False,True,11136,190248,458448
11,200,100,100,True,False,False,11076,195640,467584
11,100,200,100,False,True,False,11076,222392,494472
11,100,100,200,False,False,True,11016,210548,479568
12,200,100,100,True,False,False,11140,223268,493896
12,100,200,100,False,True,False,10992,211288,481732
12,100,100,200,False,False,True,11000,220732,489240
13,200,100,100,True,False,False,11144,222008,491184
13,100,200,100,False,True,False,11124,210604,478656
13,100,100,200,False,False,True,11056,217884,486600
14,200,100,100,True,False,False,10932,219120,487952
14,100,200,100,False,True,False,11020,222656,493436
14,100,100,200,False,False,True,10988,202744,471272
15,200,100,100,True,False,False,11076,213580,482304
15,100,200,100,False,True,False,11096,213120,483144
15,100,100,200,False,False,True,10992,219204,487884
16,200,100,100,True,False,False,11156,219972,490524
