d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb,memory_pressure,elapsed_time
100,100,200,False,False,True,10964,216824,450644,0,21.02085328102112
100,100,200,False,False,True,11036,179740,414532,0,20.512407779693604
100,100,200,False,False,True,11176,204820,438520,0,21.34838604927063
100,100,400,False,False,True,11072,224400,509444,0,39.75454783439636
100,100,400,False,False,True,11032,207300,493128,0,43.049349546432495
100,100,400,False,False,True,11096,208384,493768,0,43.04671478271485
100,100,600,False,False,True,11296,245420,583112,0,62.65973591804504
100,100,600,False,False,True,11044,248296,583524,0,64.64076137542725
100,100,600,False,False,True,10968,235416,571256,0,63.87721419334412
100,100,800,False,False,True,11120,231732,619848,0,81.79651260375977
100,100,800,False,False,True,11092,238680,625240,0,83.80931258201599
100,100,800,False,False,True,11236,233328,619328,0,81.55223560333252
100,100,1000,False,False,True,11020,269360,706600,0,105.10417366027832
100,100,1000,False,False,True,11164,255252,692876,0,104.92201614379884
100,100,1000,False,False,True,11160,253164,686492,0,107.50635552406312
100,100,1200,False,False,True,11096,293788,777096,0,126.1153919696808
100,100,1200,False,False,True,11080,295512,785408,0,130.06519174575806
100,100,1200,False,False,True,11176,290720,774568,0,134.08309412002563
100,100,1400,False,False,True,11048,291348,829464,0,153.09093022346497
100,100,1400,False,False,True,11108,297116,835788,0,154.87065529823303
100,100,1400,False,False,True,11236,305548,844028,0,151.5281732082367
100,100,1600,False,False,True,11224,299572,885124,0,174.5635232925415
100,100,1600,False,False,True,11112,294120,879576,0,173.7757203578949
100,100,1600,False,False,True,11048,318556,903212,0,186.62236857414248
100,100,1800,False,False,True,11124,332764,941588,0,191.8643856048584
100,100,1800,False,False,True,11168,331924,942952,0,196.76814579963684
100,100,1800,False,False,True,11180,315716,924920,0,197.95731782913208
100,100,2000,False,False,True,11100,344412,956076,0,218.11208271980288
100,100,2000,False,False,True,11096,338260,947724,0,224.83302330970764
100,100,2000,False,False,True,11224,345612,954700,0,216.52663278579712
