Execution ID, Initial memory usage, Data memory usage, Computing memory usage, Final memory usage
094c65a3-59e0-48d7-80d3-5a394161707f, 11140, 260056, 198748, 458804
1d800282-19eb-4da3-b84f-813f231dd7b3, 11028, 270788, 197568, 468356
5e4abf29-c92a-4ebd-a63d-a25a52570dcd, 10776, 261276, 196896, 458172
7922f460-4e8d-452b-afe8-69a766d9cde4, 10848, 275164, 183564, 458728
4ec61830-c974-4466-b677-5f7b5b400dd9, 10792, 291972, 181564, 473536
775e08ed-da90-47fe-bdd4-817b7f3335a7, 10896, 275000, 181124, 456124
b7230b57-ad8b-406e-8af6-ed1ff4b9d914, 10748, 295700, 182744, 478444
597b7ebf-551b-47b5-a1c5-4a6f25c8fe89, 10988, 301232, 181176, 482408
3fbdbec3-0b63-4cfc-81be-4f73b60e56bd, 10692, 307232, 181812, 489044
22b8b0e1-8366-4842-ae56-2955e4b3e8b8, 10904, 307608, 183872, 491480
14b2d6b1-9f4f-497c-8ec1-2032285c629f, 10828, 317556, 182024, 499580
094d7c9a-e2d4-44b5-a219-b9b1817bfdc9, 10872, 317764, 181772, 499536
0a86e04c-edce-42c9-89c7-ea7714513c29, 10812, 324780, 181636, 506416
8f776724-3b12-4787-bf7c-bcb81c71819a, 10884, 317988, 183748, 501736
c441b38c-3b27-40e6-b680-e18b7b05b94d, 10812, 322404, 181644, 504048
60da47e6-08af-45e6-8a1b-b89d9063d18f, 10884, 341044, 183380, 524424
762527c4-b0dc-4061-84f1-6687f33cb2b0, 10912, 344280, 181744, 526024
10b6ccda-a2e2-4ba9-8ff0-1022a18afcca, 11228, 339080, 182168, 521248
30d0e7ce-72e6-43bc-9aaa-edfabe446087, 10984, 351040, 181464, 532504
9d28df39-4e38-4919-ab89-a8d1d67094ec, 10592, 350824, 181504, 532328
0da0ed50-6e2d-4473-9c67-f6b72e8e745c, 10616, 364828, 183480, 548308
d79ab4e9-afec-41db-9470-8a885cfc3649, 10824, 375756, 181760, 557516
ce2fd850-637d-49e8-92ad-d5946d03f42b, 10780, 372696, 181288, 553984
606cdb06-2d22-4f8a-9752-6844b8f8b240, 10960, 373028, 183312, 556340
27a3883f-b29d-4809-a73f-49bd3a654c04, 10920, 381764, 191304, 573068
86a4c27b-46a3-4650-997e-3370f71d9b1e, 10864, 393040, 191496, 584536
dacf9dba-9870-4649-9cf5-790996ff821f, 10796, 384324, 191416, 575740
732af146-be10-4b23-8815-1bc787a3dca5, 10732, 411292, 181920, 593212
b417493c-5ab8-44f4-85f0-1e076e6dd988, 10920, 392228, 181804, 574032
d32cdad7-fc14-468d-88dd-c4df166d7afb, 11016, 407316, 184092, 591408
a463e8b1-5cad-4c7e-94f5-d1bd65854db3, 10920, 269144, 190092, 459236
4700efaf-da49-4f4f-9f5b-9ae02770f143, 10952, 261444, 187744, 449188
32e3701f-ef23-483d-9167-1e3590839747, 11136, 261472, 188272, 449744
e41c1c64-bbd2-4eb6-aba2-e036d45cc9d0, 10636, 290664, 191464, 482128
306c2b3c-6cb5-48f6-b33b-23236617dfa1, 10824, 289220, 188604, 477824
7a3e08fd-bfbb-4f50-a869-48f4d4d8f936, 10996, 281148, 188808, 469956
07e83304-c2cc-48da-a7f9-2cabebac7bf7, 10968, 295816, 191436, 487252
aeeecfb8-fc77-49a8-9790-95136ccadce0, 11068, 293292, 191016, 484308
4fb66be3-4145-4cdf-82e5-87ff91fb7b4b, 10752, 294384, 189124, 483508
29dc6c9b-b07c-490e-a92b-e782e1e91d7b, 10820, 316916, 190860, 507776
185bd15e-49f9-4601-b11f-f7f352cd1b79, 10912, 315956, 194536, 510492
6b7b2b7e-1c6d-4b1c-b7b2-4912212119c1, 10916, 305688, 192328, 498016
f08b18a6-56c3-4b83-9605-94135404da05, 10792, 326444, 186260, 512704
9e735f81-7384-45a0-8e49-9cf5049aa955, 10960, 323396, 188216, 511612
924ed641-e4a3-4436-9274-81bb34855c6f, 10912, 319800, 189500, 509300
805e1412-6798-4ea2-91db-3d6a3f3be1c0, 10956, 343300, 183924, 527224
ae1bf5c0-bcd0-4cbd-8afc-5d15139b7bda, 10800, 341332, 189784, 531116
c1fdc532-2499-4079-ba0e-3e78d1febcd1, 10724, 333000, 188208, 521208
0e7470ae-8e12-449f-9a5e-ff353ac6745a, 10968, 358752, 186904, 545656
c33717f9-c955-4753-9820-038f8e9a72e2, 10648, 365968, 188776, 554744
0b0ffec2-99b7-45d3-b53c-c2cb485b50ee, 10844, 353256, 186452, 539708
1f3698be-1cad-4a75-b03f-50ba8d269fc5, 10772, 369976, 186980, 556956
db4846e8-e5c5-49d6-8e45-382abd5b7e45, 10864, 384328, 187536, 571864
8703b927-2489-46b6-a59f-2222f318d35a, 10880, 360216, 186668, 546884
76bce25e-b2d6-4efe-bf1b-12803b68197a, 11116, 383312, 191820, 575132
eea47ba2-d47b-4a00-9617-86a98f291066, 10984, 399800, 193960, 593760
849bfe7c-8082-491c-a9bb-447af2aee809, 10960, 383416, 193364, 576780
d0a14681-8d28-4411-a260-2c34ea6e7940, 10940, 407668, 211764, 619432
ff8bc2a7-99ff-4160-b45c-dcf16ffc1ffc, 10876, 407388, 209916, 617304
bec63159-5d9b-49ff-aa6d-24ebe00941fa, 10804, 413528, 213540, 627068
