iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
1,200,100,100,True,False,False,11040,253064,631928
1,100,200,100,False,True,False,11092,243012,621816
1,100,100,200,False,False,True,11192,255420,633128
2,200,100,100,True,False,False,11160,249680,628884
2,100,200,100,False,True,False,10932,233292,614864
2,100,100,200,False,False,True,10956,247348,627932
3,200,100,100,True,False,False,11100,241344,619712
3,100,200,100,False,True,False,11156,242012,619492
3,100,100,200,False,False,True,10972,245928,624552
4,200,100,100,True,False,False,11060,243044,624208
4,100,200,100,False,True,False,11060,235200,614844
4,100,100,200,False,False,True,10948,252264,630996
5,200,100,100,True,False,False,11072,242680,621988
5,100,200,100,False,True,False,11044,247772,626084
5,100,100,200,False,False,True,11012,253076,630092
6,200,100,100,True,False,False,10932,239624,618128
6,100,200,100,False,True,False,11104,245652,625156
6,100,100,200,False,False,True,11020,237232,618180
7,200,100,100,True,False,False,11020,239744,618688
7,100,200,100,False,True,False,11164,248008,626596
7,100,100,200,False,False,True,11052,258896,635732
8,200,100,100,True,False,False,11152,237712,616532
8,100,200,100,False,True,False,11000,261232,638208
8,100,100,200,False,False,True,11220,252972,631964
9,200,100,100,True,False,False,11032,247368,626172
9,100,200,100,False,True,False,11008,251688,631948
9,100,100,200,False,False,True,11076,242264,621572
10,200,100,100,True,False,False,11192,254908,633580
10,100,200,100,False,True,False,11132,250892,627224
10,100,100,200,False,False,True,11080,250440,627028
11,200,100,100,True,False,False,10928,246284,627148
11,100,200,100,False,True,False,11048,247668,628304
11,100,100,200,False,False,True,11192,244916,627540
12,200,100,100,True,False,False,11112,253076,629544
12,100,200,100,False,True,False,11076,258296,636948
12,100,100,200,False,False,True,10932,248804,628020
13,200,100,100,True,False,False,11168,248756,627112
13,100,200,100,False,True,False,11104,249544,629028
13,100,100,200,False,False,True,11020,250840,630384
14,200,100,100,True,False,False,11072,243524,624796
14,100,200,100,False,True,False,11004,249604,628036
14,100,100,200,False,False,True,10948,247868,626528
15,200,100,100,True,False,False,10912,256100,633292
15,100,200,100,False,True,False,11164,249948,627088
15,100,100,200,False,False,True,10980,253016,632100
16,200,100,100,True,False,False,11152,253460,633000
16,100,200,100,False,True,False,11164,247364,626224
16,100,100,200,False,False,True,11228,256560,635528
17,200,100,100,True,False,False,11044,240996,619948
17,100,200,100,False,True,False,11068,246900,626484
17,100,100,200,False,False,True,11040,257032,634704
18,200,100,100,True,False,False,11188,262672,640424
18,100,200,100,False,True,False,11136,247836,626580
18,100,100,200,False,False,True,11012,243032,624108
19,200,100,100,True,False,False,11164,254512,631180
19,100,200,100,False,True,False,11016,260868,639716
19,100,100,200,False,False,True,11072,245668,625544
20,200,100,100,True,False,False,11232,250424,629240
20,100,200,100,False,True,False,11188,241948,620704
20,100,100,200,False,False,True,11224,234288,612904
21,200,100,100,True,False,False,11068,244040,620964
21,100,200,100,False,True,False,11040,242084,622704
21,100,100,200,False,False,True,11084,254356,631520
22,200,100,100,True,False,False,11000,253100,629804
22,100,200,100,False,True,False,11112,252860,631640
22,100,100,200,False,False,True,11088,254096,635008
23,200,100,100,True,False,False,11228,257932,634476
23,100,200,100,False,True,False,11080,253296,630084
23,100,100,200,False,False,True,11012,260552,639212
24,200,100,100,True,False,False,10976,256188,634764
24,100,200,100,False,True,False,10976,251540,629460
24,100,100,200,False,False,True,11168,252976,631412
25,200,100,100,True,False,False,11156,251532,631376
25,100,200,100,False,True,False,11100,254568,633000
25,100,100,200,False,False,True,11056,247292,628264
26,200,100,100,True,False,False,11008,255808,632844
26,100,200,100,False,True,False,11172,254900,633344
26,100,100,200,False,False,True,10972,244760,624292
27,200,100,100,True,False,False,10996,244208,624976
27,100,200,100,False,True,False,11044,243508,624080
27,100,100,200,False,False,True,11296,248704,627204
28,200,100,100,True,False,False,10964,256496,636152
28,100,200,100,False,True,False,10948,241072,618616
28,100,100,200,False,False,True,11000,256384,633644
29,200,100,100,True,False,False,11168,253576,629944
29,100,200,100,False,True,False,11156,254280,631300
29,100,100,200,False,False,True,11188,248148,626480
30,200,100,100,True,False,False,11152,251132,630644
30,100,200,100,False,True,False,11160,246720,627208
30,100,100,200,False,False,True,11116,240068,616384
31,200,100,100,True,False,False,11084,256416,633576
31,100,200,100,False,True,False,11012,238316,615452
31,100,100,200,False,False,True,11232,244868,625192
32,200,100,100,True,False,False,11092,253236,632388
32,100,200,100,False,True,False,11224,256608,633036
32,100,100,200,False,False,True,11172,250416,629148
33,200,100,100,True,False,False,11072,244780,622048
33,100,200,100,False,True,False,11024,249284,627952
33,100,100,200,False,False,True,11072,243532,622244
34,200,100,100,True,False,False,11116,236612,617400
34,100,200,100,False,True,False,11164,254252,632904
34,100,100,200,False,False,True,11044,240836,618076
35,200,100,100,True,False,False,11036,238804,615776
35,100,200,100,False,True,False,11080,246632,625752
35,100,100,200,False,False,True,11024,259260,637860
1,400,100,100,True,False,False,11068,272808,651324
1,100,400,100,False,True,False,11188,266364,643060
1,100,100,400,False,False,True,11096,255884,635200
2,400,100,100,True,False,False,11140,271012,647300
2,100,400,100,False,True,False,11164,272676,651680
2,100,100,400,False,False,True,11120,269996,646648
3,400,100,100,True,False,False,10996,269132,648132
3,100,400,100,False,True,False,11048,269388,649980
3,100,100,400,False,False,True,11040,266584,643760
4,400,100,100,True,False,False,11124,266056,642704
4,100,400,100,False,True,False,10912,266844,645484
4,100,100,400,False,False,True,11024,277416,658644
5,400,100,100,True,False,False,11100,269812,649032
5,100,400,100,False,True,False,11012,264408,641440
5,100,100,400,False,False,True,11080,271400,653652
6,400,100,100,True,False,False,11048,262396,640768
6,100,400,100,False,True,False,11116,261308,640448
6,100,100,400,False,False,True,11124,257436,636140
7,400,100,100,True,False,False,11020,263168,643840
7,100,400,100,False,True,False,11080,271160,649708
7,100,100,400,False,False,True,11160,273320,652560
8,400,100,100,True,False,False,10988,260284,638712
8,100,400,100,False,True,False,11104,269792,651072
8,100,100,400,False,False,True,11100,268232,647628
9,400,100,100,True,False,False,11016,267956,646952
9,100,400,100,False,True,False,10972,256880,635696
9,100,100,400,False,False,True,11112,251932,628616
10,400,100,100,True,False,False,11064,253996,632668
10,100,400,100,False,True,False,11168,266188,646020
10,100,100,400,False,False,True,10928,265364,644004
11,400,100,100,True,False,False,10980,276612,653196
11,100,400,100,False,True,False,11072,275188,656136
11,100,100,400,False,False,True,11092,267700,647384
12,400,100,100,True,False,False,11032,265844,642948
12,100,400,100,False,True,False,11076,270088,647144
12,100,100,400,False,False,True,11024,266932,645936
13,400,100,100,True,False,False,11048,267240,645884
13,100,400,100,False,True,False,11028,268168,644608
13,100,100,400,False,False,True,11124,269964,649164
14,400,100,100,True,False,False,10900,258312,636980
14,100,400,100,False,True,False,11040,266796,645732
14,100,100,400,False,False,True,10984,269172,650472
15,400,100,100,True,False,False,11124,267412,646344
15,100,400,100,False,True,False,11236,265232,644936
15,100,100,400,False,False,True,11100,270616,647084
16,400,100,100,True,False,False,11104,275376,652392
16,100,400,100,False,True,False,10976,269972,648492
16,100,100,400,False,False,True,10948,272016,648672
17,400,100,100,True,False,False,11168,270316,648188
17,100,400,100,False,True,False,11060,265720,646148
17,100,100,400,False,False,True,11232,260064,639204
18,400,100,100,True,False,False,11112,270860,650256
18,100,400,100,False,True,False,10948,275660,655176
18,100,100,400,False,False,True,11036,260276,641600
19,400,100,100,True,False,False,11048,262120,641356
19,100,400,100,False,True,False,11172,265896,642380
19,100,100,400,False,False,True,11228,264864,645184
20,400,100,100,True,False,False,11020,266544,645356
20,100,400,100,False,True,False,10932,274008,654488
20,100,100,400,False,False,True,11112,261504,640332
21,400,100,100,True,False,False,10988,268404,646748
21,100,400,100,False,True,False,11080,272668,652444
21,100,100,400,False,False,True,11048,266968,645192
22,400,100,100,True,False,False,11072,269308,646544
22,100,400,100,False,True,False,11016,269920,648844
22,100,100,400,False,False,True,11028,274408,650976
23,400,100,100,True,False,False,10960,264840,643412
23,100,400,100,False,True,False,11188,267284,645956
23,100,100,400,False,False,True,10996,272912,651440
24,400,100,100,True,False,False,10976,273864,653500
24,100,400,100,False,True,False,11024,278004,658972
24,100,100,400,False,False,True,11068,270008,646792
25,400,100,100,True,False,False,11164,262024,638568
25,100,400,100,False,True,False,10956,269316,646340
25,100,100,400,False,False,True,11032,262552,641744
26,400,100,100,True,False,False,10996,268864,645544
26,100,400,100,False,True,False,11024,270696,649072
26,100,100,400,False,False,True,11008,262328,642468
27,400,100,100,True,False,False,11024,260752,639672
27,100,400,100,False,True,False,11092,261932,640036
27,100,100,400,False,False,True,11124,265716,646052
28,400,100,100,True,False,False,11100,262428,639736
