Experiment root PID, PID, Rss, Shared_Clean, Shared_Dirty, Swap
88371, 88371, 8856, 2136, 0, 0 0
88371, 88371, 8856, 2136, 0, 0 0
88371, 88371, 8856, 2136, 0, 0 0
88371, 88371, 8856, 2136, 0, 0 0
88371, 88371, 8856, 2136, 0, 0 0
88371, 88371, 8856, 2136, 0, 0 0
88371, 88371, 8856, 2136, 0, 0 0
88371, 88371, 9292, 2136, 0, 0 0
88371, 88371, 38196, 2244, 0, 0 0
88371, 88371, 91656, 2264, 0, 0 0
88371, 88371, 243276, 2264, 0, 0 0
88371, 88371, 341892, 2264, 0, 0 0
88371, 88371, 593796, 2264, 0, 0 0
88371, 88371, 851844, 2264, 0, 0 0
88371, 88371, 1111940, 2264, 0, 0 0
88371, 88371, 1363844, 2264, 0, 0 0
88371, 88371, 1623940, 2264, 0, 0 0
88371, 88371, 1884036, 2264, 0, 0 0
88371, 88371, 2142084, 2264, 0, 0 0
88371, 88371, 2404228, 2264, 0, 0 0
88371, 88371, 2664324, 2264, 0, 0 0
88371, 88371, 2922372, 2264, 0, 0 0
88371, 88371, 3180420, 2264, 0, 0 0
88371, 88371, 3434372, 2264, 0, 0 0
88371, 88371, 3690372, 2264, 0, 0 0
88371, 88371, 3946372, 2264, 0, 0 0
88371, 88371, 4202372, 2264, 0, 0 0
88371, 88371, 4458372, 2264, 0, 0 0
88371, 88371, 4718468, 2264, 0, 0 0
88371, 88371, 4978564, 2264, 0, 0 0
88371, 88371, 5230468, 2264, 0, 0 0
88371, 88371, 5488516, 2264, 0, 0 0
88371, 88371, 5736324, 2264, 0, 0 0
88371, 88371, 5994372, 2264, 0, 0 0
88371, 88371, 6252420, 2264, 0, 0 0
88371, 88371, 6510468, 2264, 0, 0 0
88371, 88371, 6770564, 2264, 0, 0 0
88371, 88371, 7026564, 2264, 0, 0 0
88371, 88371, 7282564, 2264, 0, 0 0
88371, 88371, 7540612, 2264, 0, 0 0
88371, 88371, 7796612, 2264, 0, 0 0
88371, 88371, 8052612, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062644, 2264, 0, 0 0
88371, 88371, 8062808, 2264, 0, 0 0
88371, 88371, 8062808, 2264, 0, 0 0
88371, 88371, 8062808, 2264, 0, 0 0
88371, 88371, 8062808, 2264, 0, 0 0
88371, 88371, 8062808, 2264, 0, 0 0
88371, 88371, 8062808, 2264, 0, 0 0
88371, 88371, 8062808, 2264, 0, 0 0
88371, 88371, 8063788, 2264, 0, 0 0
88371, 88371, 8080924, 2264, 0, 0 0
88371, 88371, 8061084, 2352, 0, 0 0
88371, 88371, 8152692, 2352, 0, 0 0
88371, 88371, 8163136, 2556, 0, 0 0
88371, 88371, 8176592, 2556, 0, 0 0
88371, 88371, 8074360, 1992, 0, 0 0
88371, 88371, 8189492, 9020, 0, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 26656, 10944, 0, 0 0
88371, 88371, 8189492, 12420, 0, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 50056, 11972, 0, 0 0
88371, 88371, 8189500, 20272, 0, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 68120, 15084, 0, 0 0
88371, 88371, 8189512, 47296, 0, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 136748, 46860, 0, 0 0
88371, 88371, 8158900, 47572, 4, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 148480, 49432, 4, 0 0
88371, 88371, 8213264, 49696, 4, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 148480, 49432, 4, 0 0
88371, 88371, 8242344, 49696, 4, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 148480, 49432, 4, 0 0
88371, 88371, 8247784, 49696, 4, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 148484, 49432, 4, 0 0
88371, 88371, 8265984, 49596, 4, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 148484, 49436, 4, 0 0
88371, 88371, 8271368, 49700, 4, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 151464, 49436, 4, 0 0
88371, 88371, 8271376, 49700, 4, 0 0
88371, 90275, 10576, 5612, 0, 0 0
88371, 90277, 151532, 49436, 4, 0 0
88371, 88371, 8271380, 49700, 4, 0 0
